,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,10.0,
1,3/3/20,2,8.0,
2,3/4/20,10,9.0,
3,3/5/20,2,13.0,
4,3/6/20,8,10.0,
5,3/7/20,13,9.0,
6,3/8/20,20,14.0,
7,3/9/20,53,29.0,
8,3/10/20,73,43.0,
9,3/11/20,156,66.0,1.0
10,3/12/20,358,69.0,1.0
11,3/13/20,617,128.0,
12,3/14/20,637,151.0,2.0
13,3/15/20,1026,185.0,6.0
14,3/16/20,2095,305.0,9.0
15,3/17/20,2389,339.0,7.0
16,3/18/20,2892,420.0,21.0
17,3/19/20,3573,504.0,25.0
18,3/20/20,3762,572.0,44.0
19,3/21/20,2209,623.0,36.0
20,3/22/20,2075,660.0,45.0
21,3/23/20,3151,936.0,79.0
22,3/24/20,3670,979.0,88.0
23,3/25/20,3924,1149.0,109.0
24,3/26/20,4084,1232.0,164.0
25,3/27/20,4138,1187.0,175.0
26,3/28/20,2817,1079.0,220.0
27,3/29/20,2857,1177.0,241.0
28,3/30/20,4572,1375.0,254.0
29,3/31/20,3854,1205.0,309.0
30,4/1/20,4017,1138.0,311.0
31,4/2/20,4739,1184.0,325.0
32,4/3/20,4173,1137.0,285.0
33,4/4/20,2730,788.0,272.0
34,4/5/20,2212,302.0,290.0
35,4/6/20,1587,17.0,199.0
36,4/7/20,101,,22.0
